threshold,dataset,model,0 matches,1 match,2 matches,3 matches
0.9,ARC,GPT-5.2,69.84924623115577,16.884422110552762,9.64824120603015,3.618090452261306
0.9,ARC,Gemini-3.1 Pro,57.185929648241206,23.115577889447238,13.366834170854272,6.331658291457286
0.9,ARC,Qwen-3.5,60.10050251256281,22.512562814070353,12.160804020100501,5.226130653266332
0.9,MMLU,GPT-5.2,81.76100628930818,11.740041928721174,4.926624737945493,1.5723270440251573
0.9,MMLU,Gemini-3.1 Pro,67.29559748427673,19.70649895178197,9.748427672955975,3.2494758909853245
0.9,MMLU,Qwen-3.5,72.64150943396226,18.343815513626836,6.498951781970649,2.515723270440252
0.9,GPQA,GPT-5.2,44.57831325301205,19.518072289156628,17.59036144578313,18.313253012048193
0.9,GPQA,Gemini-3.1 Pro,33.734939759036145,20.481927710843372,21.44578313253012,24.337349397590362
0.9,GPQA,Qwen-3.5,36.86746987951807,23.132530120481928,19.03614457831325,20.96385542168675
0.95,ARC,GPT-5.2,74.57286432160805,14.37185929648241,8.140703517587939,2.9145728643216082
0.95,ARC,Gemini-3.1 Pro,62.41206030150753,21.407035175879397,10.65326633165829,5.527638190954774
0.95,ARC,Qwen-3.5,65.62814070351759,19.2964824120603,10.65326633165829,4.42211055276382
0.95,MMLU,GPT-5.2,85.84905660377359,9.119496855345911,3.7735849056603774,1.257861635220126
0.95,MMLU,Gemini-3.1 Pro,75.26205450733752,14.360587002096437,7.966457023060797,2.410901467505241
0.95,MMLU,Qwen-3.5,79.66457023060796,13.836477987421384,4.612159329140461,1.8867924528301887
0.95,GPQA,GPT-5.2,53.25301204819277,19.759036144578314,13.734939759036143,13.253012048192772
0.95,GPQA,Gemini-3.1 Pro,42.65060240963855,22.40963855421687,17.83132530120482,17.10843373493976
0.95,GPQA,Qwen-3.5,48.433734939759034,22.650602409638555,14.216867469879519,14.698795180722893
0.98,ARC,GPT-5.2,76.38190954773869,13.366834170854272,7.4371859296482405,2.814070351758794
0.98,ARC,Gemini-3.1 Pro,65.12562814070351,19.698492462311556,9.849246231155778,5.326633165829145
0.98,ARC,Qwen-3.5,69.54773869346734,16.884422110552762,9.64824120603015,3.919597989949749
0.98,MMLU,GPT-5.2,88.46960167714884,7.547169811320755,2.9350104821802936,1.0482180293501049
0.98,MMLU,Gemini-3.1 Pro,79.35010482180293,11.844863731656185,6.918238993710692,1.8867924528301887
0.98,MMLU,Qwen-3.5,85.32494758909853,9.958071278825996,3.459119496855346,1.257861635220126
0.98,GPQA,GPT-5.2,58.07228915662651,20.481927710843372,11.80722891566265,9.63855421686747
0.98,GPQA,Gemini-3.1 Pro,50.12048192771085,23.132530120481928,14.216867469879519,12.530120481927712
0.98,GPQA,Qwen-3.5,56.3855421686747,21.927710843373493,11.325301204819278,10.361445783132531
