eval_model,eval_model_display,setting,distractor_source,count,proportion
vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round1,1524,0.38033441477414526
vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round2,2483,0.6196655852258548
vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round1,929,0.37324226597026916
vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round2,1560,0.6267577340297308
vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round1,1667,0.37160053499777085
vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round2,2819,0.6283994650022292
vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round1,1273,0.35940146809712026
vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round2,2269,0.6405985319028797
openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round1,491,0.4001629991850041
openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round2,736,0.5998370008149959
vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round1,1089,0.3405253283302064
vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round2,2109,0.6594746716697936
vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round1,1753,0.3193660047367462
vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round2,3736,0.6806339952632537
vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round1,1489,0.35528513481269386
vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round2,2702,0.6447148651873061
vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round1,1294,0.3607471424588793
vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round2,2293,0.6392528575411207
vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round1,1194,0.3543026706231454
vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round2,2176,0.6456973293768546
vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round1,1576,0.35014441235281046
vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round2,2925,0.6498555876471895
