| model | dataset | config | writing_flaws | p_writing_flaw_ge_2 |
| --- | --- | --- | --- | --- |
| gpt-5.2-2025-12-11 | arc_challenge | augment_ablation | 0.852 +/- 0.003 | 78.80% +/- 1.29% |
| gpt-5.2-2025-12-11 | arc_challenge | augment_human | 0.856 +/- 0.003 | 77.10% +/- 1.33% |
| gpt-5.2-2025-12-11 | arc_challenge | augment_model | 0.845 +/- 0.003 | 79.50% +/- 1.28% |
| gpt-5.2-2025-12-11 | arc_challenge | human_from_scratch | 0.921 +/- 0.002 | 42.80% +/- 1.57% |
| gpt-5.2-2025-12-11 | arc_challenge | model_from_scratch | 0.895 +/- 0.002 | 60.90% +/- 1.54% |
| gpt-5.2-2025-12-11 | mmlu_pro | augment_ablation | 0.821 +/- 0.003 | 87.47% +/- 1.05% |
| gpt-5.2-2025-12-11 | mmlu_pro | augment_human | 0.800 +/- 0.003 | 91.28% +/- 0.89% |
| gpt-5.2-2025-12-11 | mmlu_pro | augment_model | 0.814 +/- 0.003 | 89.08% +/- 0.99% |
| gpt-5.2-2025-12-11 | mmlu_pro | human_from_scratch | 0.849 +/- 0.003 | 80.16% +/- 1.26% |
| gpt-5.2-2025-12-11 | mmlu_pro | model_from_scratch | 0.854 +/- 0.002 | 80.86% +/- 1.25% |
| gpt-5.2-2025-12-11 | gpqa | augment_ablation | 0.828 +/- 0.004 | 87.78% +/- 1.56% |
| gpt-5.2-2025-12-11 | gpqa | augment_human | 0.826 +/- 0.005 | 86.20% +/- 1.64% |
| gpt-5.2-2025-12-11 | gpqa | augment_model | 0.831 +/- 0.004 | 85.97% +/- 1.65% |
| gpt-5.2-2025-12-11 | gpqa | human_from_scratch | 0.866 +/- 0.004 | 75.57% +/- 2.05% |
| gpt-5.2-2025-12-11 | gpqa | model_from_scratch | 0.862 +/- 0.004 | 79.41% +/- 1.93% |
