generator_key,generator,generation_run_name,eval_model,mode,dataset,setting,total,observed_total,expected_total,missing_samples,coverage_fraction,correct,accuracy,stderr,random_baseline,delta_over_random,status
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,choices_only,arc_challenge,human_from_scratch,999,999,999,0,1.0,420,0.42042042042042044,0.01561765031992498,0.25,0.17042042042042044,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,choices_only,arc_challenge,human_from_scratch,999,999,999,0,1.0,363,0.3633633633633634,0.015217161086094472,0.25,0.11336336336336339,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,choices_only,arc_challenge,human_from_scratch,999,999,999,0,1.0,376,0.3763763763763764,0.015328149002211541,0.25,0.1263763763763764,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,choices_only,arc_challenge,human_from_scratch,999,999,999,0,1.0,427,0.42742742742742745,0.01565177944867959,0.25,0.17742742742742745,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,choices_only,arc_challenge,model_from_scratch,997,997,997,0,1.0,428,0.4292878635907723,0.015676000917924798,0.25,0.1792878635907723,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,choices_only,arc_challenge,model_from_scratch,997,997,997,0,1.0,368,0.3691073219658977,0.01528292544861305,0.25,0.11910732196589768,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,choices_only,arc_challenge,model_from_scratch,997,997,997,0,1.0,380,0.3811434302908726,0.015381250418294025,0.25,0.1311434302908726,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,choices_only,arc_challenge,model_from_scratch,997,997,997,0,1.0,435,0.436308926780341,0.01570616113775685,0.25,0.186308926780341,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/Qwen/Qwen3-4B-Instruct-2507,choices_only,gpqa,human_from_scratch,439,439,439,0,1.0,125,0.2847380410022779,0.021538876702058445,0.25,0.0347380410022779,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/allenai/Olmo-3-7B-Instruct,choices_only,gpqa,human_from_scratch,439,439,439,0,1.0,128,0.29157175398633256,0.02169144075360945,0.25,0.04157175398633256,complete
gen_gpt52_v2/openai/gpt-5.2-2025-12-11,openai/gpt-5.2-2025-12-11,gen_gpt52_v2,vllm/meta-llama/Llama-3.1-8B-Instruct,choices_only,gpqa,human_from_scratch,439,439,439,0,1.0,134,0.3052391799544419,0.021978879019419986,0.25,0.055239179954441886,complete
