dataset,setting,n_items,difficulty,difficulty_sd,discrimination,discrimination_sd,difficulty_se,discrimination_se
arc_challenge,augment_human_m5,200,-1.378581618000182,1.6478632851055364,1.2742464289695468,0.4643328999266148,0.11652153033664658,0.03283329422661239
arc_challenge,augment_model_m4,200,-1.39008634263707,1.6754475851920323,1.3311260028327896,0.46638446951778806,0.11847203490119118,0.03297836210361186
arc_challenge,augment_model_m5,200,-1.3811134571951402,1.6861187239905147,1.3752289854279176,0.5071248160083354,0.11922659836193016,0.03585913963074742
arc_challenge,augment_human_m4,200,-1.4259318217696628,1.6572578778947629,1.3161195036769298,0.4315101107709295,0.11718582836342141,0.03051237254766825
arc_challenge,augment_human_m3,200,-1.4847253794261133,1.6937170118216005,1.3407142737537747,0.4548887618488766,0.11976387844700695,0.03216549281888931
mmlu_pro,augment_human_m5,200,-0.19025963377338587,1.8235622422195823,1.2464751338258364,0.3967441762019347,0.1289453227389212,0.028054049738865848
arc_challenge,augment_model_m3,200,-1.5015324862303867,1.6368052508207303,1.3348311347613298,0.47816182646113353,0.11573960923370862,0.033811146999521265
mmlu_pro,augment_model_m4,200,-0.19704969836277259,1.857897012263963,1.273241245769199,0.391235102650522,0.13137315761180746,0.027664499412239914
arc_challenge,augment_human,2985,-1.8017413594772986,1.5077645350037752,1.3018978299577029,0.47723972195024933,0.027596967115516964,0.00873503030952145
mmlu_pro,augment_model_m5,200,-0.2408623007168153,1.8804886232288827,1.258448524840909,0.3953356180335595,0.13297062574292975,0.027954449635610466
arc_challenge,augment_model,2985,-1.7782801152486525,1.5104449178759334,1.3161231346112325,0.4703961177868614,0.027646026790461343,0.008609770221050037
mmlu_pro,augment_human_m4,200,-0.28030935489020264,1.8207343631806727,1.2288155309985183,0.3705975758106801,0.12874536149444238,0.02620520589470275
mmlu_pro,augment_human_m3,200,-0.26019608877266653,1.8054450496491756,1.1954019726402174,0.38446820450541436,0.1276642437666615,0.027186007455639483
gpqa,augment_human,1245,0.5683775906647301,1.4667204876241944,1.245927498499919,0.35409331698229307,0.04156834009974219,0.010035362259927143
mmlu_pro,augment_model_m3,200,-0.2739401993639139,1.8336446769572166,1.259317488695042,0.4491280583726725,0.12965825853630641,0.03175814956964643
mmlu_pro,augment_human,2862,-0.0989095455342443,1.6185178601122205,1.2593671706351324,0.3983722916463155,0.030253991561719196,0.007446536270569615
gpqa,augment_model,1245,0.5075133141102158,1.4948302075985511,1.2262595561379233,0.3610974190585833,0.042364997956410765,0.01023386558735536
mmlu_pro,augment_model,2862,-0.13174366111440655,1.6411441960621835,1.2711927232348585,0.41730110005754306,0.030676932200048232,0.007800361226141604
arc_challenge,augment_ablation,2985,-1.9625964358677321,1.4834507252256928,1.300335260281581,0.46166083856195345,0.027151945765484353,0.00844988636125754
gpqa,augment_ablation,1245,0.3346588006365741,1.5121229302130563,1.2041177750751013,0.38633994057606486,0.04285509118204957,0.010949264143704283
mmlu_pro,augment_ablation,2862,-0.2749710194305463,1.638208544016642,1.2710709609723423,0.4245675533159598,0.030622057802673464,0.007936188714352654
arc_challenge,model_from_scratch,2985,-2.3578559708903852,1.493728542755027,1.2918213156021605,0.3967433528598258,0.027340063064831503,0.0072616864291380505
gpqa,model_from_scratch,1245,0.18563697778271668,1.4438644533581544,1.2386539595459,0.34444186384631537,0.04092057700260221,0.009761830329475347
mmlu_pro,model_from_scratch,2862,-0.5123764132514692,1.6604952818331662,1.292815909081653,0.38833755128444,0.03103865053510869,0.007258962838286837
arc_challenge,human_from_scratch,2985,-2.612895522393112,1.422499302371327,1.279578059385571,0.3674581161042548,0.02603633760976414,0.0067256718877749325
gpqa,human_from_scratch,1245,0.1222255329282938,1.37235978212348,1.2818055415667953,0.3438577176817897,0.03889406239557044,0.009745275037148112
mmlu_pro,human_from_scratch,2862,-0.6598936430375372,1.596426828599776,1.2638840871098713,0.39600972256411965,0.02984105705080757,0.007402374172122474
