level,estimate,reference,setting,display
augment_human_m5,0.7136414258627299,False,augment_human_m5,Augment Human (m=5)
augment_model_m4,0.7044932819452872,False,augment_model_m4,Augment Model (m=4)
augment_model_m5,0.6870748372721318,False,augment_model_m5,Augment Model (m=5)
augment_human_m4,0.644941615641572,False,augment_human_m4,Augment Human (m=4)
augment_human_m3,0.6256009412360516,False,augment_human_m3,Augment Human (m=3)
augment_model_m3,0.6103249548946782,False,augment_model_m3,Augment Model (m=3)
augment_human,0.6042597845824091,False,augment_human,Augment Human
augment_model,0.5901995241012207,False,augment_model,Augment Model
augment_ablation,0.4244769195235352,False,augment_ablation,Augment Ablation
model_from_scratch,0.13614695280772413,False,model_from_scratch,Model From Scratch
human_from_scratch,0.0,True,human_from_scratch,Human From Scratch
