dataset,setting,n_items,difficulty,difficulty_sd,discrimination,discrimination_sd,difficulty_se,discrimination_se
arc_challenge,augment_human,2985,-1.9077299454617285,1.4905938089983755,1.2256674994055485,0.29147447373469115,0.027282687299325783,0.005334925500584708
gpqa,augment_human,1245,0.4740639198531148,1.4658620563068512,1.1626946936614724,0.2683669941326687,0.04154401128913875,0.007605791681359938
arc_challenge,augment_model,2985,-1.9158659273661889,1.5040382885071124,1.2343984418335665,0.28658777733938007,0.027528764753911177,0.005245483152927567
gpqa,augment_model,1245,0.39423665282382364,1.4867194975184383,1.1556724006580785,0.26495919246043426,0.042135132240410135,0.007509211139873558
mmlu_pro,augment_human,2862,-0.12805355444363314,1.646238211209296,1.1906712502438286,0.28677018920285263,0.03077215159494902,0.005360424557622225
mmlu_pro,augment_model,2862,-0.19184581418363927,1.6639498500445724,1.1835704033593033,0.2905008050164391,0.03110322472368763,0.00543015873981805
arc_challenge,augment_ablation,2985,-2.106363125732614,1.4917065985398161,1.2215067909667612,0.2886213510128249,0.027303054946706182,0.005282704127748345
gpqa,augment_ablation,1245,0.203925092606238,1.497060577057843,1.1430897097462225,0.2955097920234605,0.042428208879701335,0.008375045989527813
mmlu_pro,augment_ablation,2862,-0.3482995557512082,1.6553178343627364,1.1804485290290214,0.29582873119368686,0.03094187158941898,0.005529750494460004
arc_challenge,model_from_scratch,2985,-2.427677216387085,1.4670714693183735,1.2027498266745091,0.2317799734963486,0.02685215241170992,0.004242323093637502
gpqa,model_from_scratch,1245,0.04616169623569408,1.4517387514681752,1.1732619246057168,0.23420048668170512,0.041143742564579394,0.006637478349865842
arc_challenge,human_from_scratch,2985,-2.6010468651071865,1.4004766229135068,1.2003360726007626,0.20898467546946511,0.02563325135412973,0.003825095419533378
gpqa,human_from_scratch,1245,0.006033631734569102,1.4089805616701117,1.1888391422650946,0.2485312022987835,0.03993193227722583,0.007043625305383131
mmlu_pro,model_from_scratch,2862,-0.5759498824571221,1.670083152200815,1.1941493272008272,0.24813895417116602,0.031217870892416084,0.0046383138614903945
mmlu_pro,human_from_scratch,2862,-0.6991431520885841,1.6337601646696798,1.195864960633926,0.2556068127438434,0.030538906893719645,0.004777906099432228
